note_off         | (68)             | 32           | 70.4010     
note_off         | (69)             | 228          | 70.6979     
note_on          | (68)             | 28           | 70.7344     
note_off         | (56)             | 4            | 70.7396     
note_off         | (64)             | 128          | 70.9063     
note_off         | (59)             | 48           | 70.9688     
note_off         | (68)             | 0            | 70.9688     
note_on          | (61)             | 24           | 71.0000     
note_on          | (66)             | 0            | 71.0000     
note_on          | (69)             | 0            | 71.0000     
note_on          | (57)             | 0            | 71.0000     
note_on          | (62)             | 752          | 71.9792     
note_off         | (61)             | 36           | 72.0260     
note_on          | (61)             | 736          | 72.9844     
note_on          | (64)             | 0            | 72.9844     
note_off         | (62)             | 4            | 72.9896     
note_off         | (66)             | 8            | 73.0000     
note_off         | (69)             | 752          | 73.9792     
note_on          | (68)             | 8            | 73.9896     
note_off         | (57)             | 4            | 73.9948     
note_on          | (56)             | 4            | 74.0000     
note_off         | (61)             | 728          | 74.9479     
note_off         | (64)             | 0            | 74.9479     
note_off         | (68)             | 8            | 74.9583     
note_on          | (59)             | 32           | 75.0000     
note_on          | (52)             | 0            | 75.0000     
note_off         | (56)             | 728          | 75.9479     
note_off         | (59)             | 32           | 75.9896     
note_off         | (52)             | 8            | 76.0000     
note_on          | (59)             | 0            | 76.0000     
note_off         | (59)             | 0            | 76.0000     
note_on          | (54)             | 0            | 76.0000     
note_on          | (57)             | 0            | 76.0000     
note_off         | (54)             | 436          | 76.5677     
note_on          | (64)             | 32           | 76.6094     
note_on          | (56)             | 0            | 76.6094     
note_off         | (57)             | 4            | 76.6146     
note_on          | (59)             | 0            | 76.6146     
note_off         | (64)             | 272          | 76.9688     
note_off         | (56)             | 0            | 76.9688     
note_on          | (52)             | 24           | 77.0000     
note_on          | (61)             | 0            | 77.0000     
note_on          | (57)             | 0            | 77.0000     
note_off         | (52)             | 232          | 77.3021     
note_off         | (61)             | 0            | 77.3021     
note_off         | (57)             | 16           | 77.3229     
note_on          | (52)             | 28           | 77.3594     
note_on          | (61)             | 0            | 77.3594     
note_on          | (57)             | 0            | 77.3594     
note_off         | (52)             | 60           | 77.4375     
note_off         | (61)             | 8            | 77.4479     
note_off         | (57)             | 0            | 77.4479     
note_on          | (57)             | 124          | 77.6094     
note_on          | (52)             | 4            | 77.6146     
note_on          | (61)             | 0            | 77.6146     
note_off         | (52)             | 48           | 77.6771     
note_off         | (61)             | 4            | 77.6823     
note_off         | (57)             | 4            | 77.6875     
note_on          | (52)             | 132          | 77.8594     
note_on          | (61)             | 0            | 77.8594     
note_on          | (57)             | 4            | 77.8646     
note_off         | (52)             | 24           | 77.8958     
note_off         | (61)             | 4            | 77.9010     
note_off         | (57)             | 4            | 77.9063     
note_on          | (52)             | 64           | 77.9896     
note_on          | (57)             | 0            | 77.9896     
note_on          | (61)             | 0            | 77.9896     
note_off         | (52)             | 56           | 78.0625     
note_off         | (57)             | 24           | 78.0938     
note_off         | (61)             | 0            | 78.0938     
note_off         | (59)             | 104          | 78.2292     
note_on          | (51)             | 4            | 78.2344     
note_on          | (56)             | 0            | 78.2344     
note_on          | (59)             | 0            | 78.2344     
note_off         | (51)             | 52           | 78.3021     
note_off         | (56)             | 8            | 78.3125     
note_on          | (56)             | 132          | 78.4844     
note_on          | (61)             | 0            | 78.4844     
note_on          | (64)             | 0            | 78.4844     
note_off         | (59)             | 1052         | 79.8542     
note_off         | (56)             | 832          | 80.9375     
note_off         | (61)             | 0            | 80.9375     
note_off         | (64)             | 0            | 80.9375     
note_on          | (61)             | 40           | 80.9896     
note_on          | (57)             | 0            | 80.9896     
note_on          | (52)             | 8            | 81.0000     
